vds;ids;eon;eoff;vdsreal;idsreal;rdson;;
-398,107;1;0,0000000138424;0,00000404092;0,40535;0,998982;0,405763;;
-398,107;1,25893;0,00000000829754;0,00000526132;0,420942;1,25759;0,33472;;
-398,107;1,58489;0,0000000337294;0,00000688043;0,437491;1,58315;0,276342;;
-398,107;1,99526;0,0000000167323;0,00000896934;0,453523;1,99299;0,227559;;
-398,107;2,51189;0,0000000390016;0,0000119804;0,470921;2,50892;0,187699;;
-398,107;3,16228;0,000000242619;0,0000154544;0,48941;3,15839;0,154955;;
-398,107;3,98107;0,0000000824241;0,00002011;0,360619;3,97747;0,0906655;;
-398,107;5,01187;0,000000117591;0,000026158;0,340206;5,00759;0,067938;;
-398,107;6,30957;0,00000017079;0,000034148;0,497897;6,30168;0,0790102;;
-398,107;7,94328;0,000000250012;0,0000449016;0,561789;7,93207;0,070825;;
-398,107;10;0,000000417699;0,0000586312;0,58754;9,98524;0,0588408;;
-398,107;12,5893;0,000000669655;0,0000769511;0,615077;12,5698;0,0489329;;
-398,107;15,8489;0,00000104687;0,000100453;0,632673;15,8237;0,0399825;;
-398,107;19,9526;0,00000125674;0,000131454;0,661104;19,9195;0,0331888;;
-398,107;25,1189;0,00000190357;0,000174991;0,69717;25,0749;0,0278035;;
-398,107;31,6228;0,0000029452;0,000227974;0,732255;31,5646;0,0231986;;
-398,107;39,8107;0,00000447716;0,0003033;0,772374;39,7335;0,0194389;;
-398,107;50,1187;0,00000701798;0,000408808;0,819912;50,0155;0,0163932;;
-398,107;63,0957;0,000010632;0,000551863;0,875547;62,957;0,0139071;;
-398,107;79,4328;0,0000166152;0,000724225;0,941653;79,2449;0,0118828;;
-398,107;100;0,0000267925;0,00101869;1,02091;99,7436;0,0102354;;
-398,107;125,893;0,0000424155;0,00139332;1,11678;125,539;0,00889589;;
-398,107;158,489;0,0000745186;0,00186855;1,23354;157,998;0,00780731;;
-398,107;199,526;0,000106047;0,00266234;1,37656;198,836;0,00692309;;
-398,107;251,189;0,00017843;0,00382875;1,5526;250,209;0,00620521;;
-398,107;316,228;0,000275386;0,00529663;1,77013;314,822;0,00562263;;
-398,107;398,107;0,000411836;0,00790675;2,03977;396,067;0,00515005;;
-398,107;500;0,000630105;0,0114898;2,37101;497,022;0,00477042;;
-363,078;0,1;9,63006E-10;0,000000249026;0,249587;0,0999313;2,49758;;
-363,078;0,125893;3,38109E-10;0,000000324412;0,264751;0,125801;2,10453;;
-363,078;0,158489;8,16792E-10;0,000000430819;0,280004;0,158367;1,76807;;
-363,078;0,199526;0,0000000219694;0,000000579234;0,295296;0,199364;1,48119;;
-363,078;0,251189;0,000000002147;0,000000775316;0,31073;0,250974;1,2381;;
-363,078;0,316228;0,000000308956;0,00000102298;0,326165;0,315944;1,03235;;
-363,078;0,398107;0,00000000746301;0,00000135513;0,341718;0,397732;0,859167;;
-363,078;0,501187;0,000000283738;0,00000178613;0,357361;0,500694;0,713732;;
-363,078;0,630957;0,00000000227679;0,00000234296;0,373;0,630309;0,591773;;
-363,078;0,794328;0,0000000140706;0,00000312089;0,388795;0,793478;0,489989;;
-363,078;1;0,00000000998651;0,00000404819;0,405367;0,998884;0,40582;;
-363,078;1,25893;0,00000000980953;0,00000526208;0,420918;1,25747;0,334735;;
-363,078;1,58489;0,00000000257885;0,00000687823;0,437473;1,58298;0,27636;;
-363,078;1,99526;0,00000002524;0,00000901221;0,453462;1,99277;0,227554;;
-363,078;2,51189;0,0000000726284;0,0000118429;0,470919;2,50863;0,18772;;
-363,078;3,16228;0,000000248277;0,0000157905;0,489512;3,15801;0,155006;;
-363,078;3,98107;0,0000000823407;0,0000204275;0,658962;3,97385;0,165825;;
-363,078;5,01187;0,00000011772;0,0000263303;0,536943;5,00446;0,107293;;
-363,078;6,30957;0,000000178062;0,0000339773;0,503775;6,30082;0,0799538;;
-363,078;7,94328;0,000000251442;0,0000449925;0,560064;7,93103;0,0706169;;
-363,078;10;0,000000481101;0,0000578806;0,593384;9,98366;0,0594356;;
-363,078;12,5893;0,000000641702;0,000076437;0,614892;12,5679;0,0489255;;
-363,078;15,8489;0,00000110056;0,000101001;0,641647;15,8209;0,0405569;;
-363,078;19,9526;0,0000012565;0,000132879;0,661564;19,9163;0,0332173;;
-363,078;25,1189;0,00000191967;0,000171973;0,697359;25,0706;0,0278158;;
-363,078;31,6228;0,00000290463;0,000231265;0,731963;31,559;0,0231935;;
-363,078;39,8107;0,00000451805;0,000306704;0,772612;39,726;0,0194485;;
-363,078;50,1187;0,00000701724;0,000408896;0,819894;50,0055;0,0163961;;
-363,078;63,0957;0,0000107766;0,00054319;0,875498;62,9436;0,0139093;;
-363,078;79,4328;0,0000168686;0,00074717;0,941575;79,2268;0,0118845;;
-363,078;100;0,0000264428;0,00100401;1,02082;99,7188;0,010237;;
-363,078;125,893;0,0000426643;0,00139312;1,11666;125,505;0,00889731;;
-363,078;158,489;0,0000672717;0,00193776;1,23337;157,951;0,00780859;;
-363,078;199,526;0,000114276;0,00266531;1,37633;198,77;0,00692425;;
-363,078;251,189;0,000174365;0,00382549;1,55228;250,115;0,00620627;;
-363,078;316,228;0,000263172;0,00541063;1,76967;314,686;0,00562361;;
-363,078;398,107;0,000404985;0,00780358;2,03912;395,871;0,00515097;;
-363,078;500;0,000611059;0,0114471;2,37007;496,736;0,00477129;;
-331,131;0,1;0,0000000181346;0,000000249503;0,249582;0,0999246;2,4977;;
-331,131;0,125893;7,67956E-10;0,000000324427;0,264746;0,125792;2,10464;;
-331,131;0,158489;0,0000000026758;0,000000430787;0,28;0,158355;1,76817;;
-331,131;0,199526;0,0000000243843;0,000000579206;0,29529;0,199348;1,48128;;
-331,131;0,251189;0,0000000041287;0,000000775274;0,310726;0,250953;1,23818;;
-331,131;0,316228;0,00000000164984;0,00000102283;0,326158;0,315916;1,03242;;
-331,131;0,398107;0,00000000695642;0,00000135472;0,341711;0,397696;0,859226;;
-331,131;0,501187;0,000000300713;0,00000178311;0,357356;0,500646;0,713789;;
-331,131;0,630957;0,00000000666911;0,0000023442;0,37298;0,630247;0,5918;;
-331,131;0,794328;0,0000000110951;0,00000310996;0,388774;0,793396;0,490012;;
-331,131;1;0,0000000058377;0,00000401452;0,405385;0,998776;0,405881;;
-331,131;1,25893;0,00000000539482;0,0000052593;0,420894;1,25733;0,334753;;
-331,131;1,58489;0,00000000245833;0,00000692644;0,437453;1,5828;0,276379;;
-331,131;1,99526;0,000000049179;0,00000902967;0,453398;1,99253;0,227549;;
-331,131;2,51189;0,0000000390092;0,0000118416;0,470926;2,50831;0,187746;;
-331,131;3,16228;0,000000107937;0,0000157567;0,489635;3,1576;0,155066;;
-331,131;3,98107;0,0000000804002;0,0000201758;0,517954;3,97484;0,130308;;
-331,131;5,01187;0,000000118205;0,0000263743;0,448622;5,00508;0,0896333;;
-331,131;6,30957;0,000000170993;0,0000342905;0,541664;6,29925;0,0859886;;
-331,131;7,94328;0,000000251392;0,0000448368;0,564761;7,92973;0,0712206;;
-331,131;10;0,000000491791;0,0000585296;0,585684;9,98231;0,0586722;;
-331,131;12,5893;0,000000613242;0,0000759321;0,603677;12,5663;0,0480394;;
-331,131;15,8489;0,00000102279;0,000101034;0,641253;15,8182;0,0405389;;
-331,131;19,9526;0,0000018517;0,00013017;0,661854;19,9127;0,0332377;;
-331,131;25,1189;0,00000190816;0,000173978;0,696516;25,066;0,0277872;;
-331,131;31,6228;0,00000294669;0,000231682;0,731956;31,5529;0,0231978;;
-331,131;39,8107;0,00000446444;0,000305811;0,772492;39,7178;0,0194495;;
-331,131;50,1187;0,00000692549;0,00040572;0,819825;49,9946;0,0163983;;
-331,131;63,0957;0,0000108392;0,000543191;0,875447;62,9289;0,0139117;;
-331,131;79,4328;0,0000166488;0,000726783;0,941496;79,207;0,0118865;;
-331,131;100;0,0000278303;0,000999277;1,02072;99,6917;0,0102387;;
-331,131;125,893;0,0000427198;0,00139286;1,11652;125,468;0,00889887;;
